기간,자치구,주택매매가격지수(종합),주택매매가격지수(아파트)
2021,서울시,103.6,104.4
2021,종로구,102.8,103.7
2021,중구,102.7,103.5
2021,용산구,103.9,105.5
2021,성동구,102.1,102.2
2021,광진구,101.9,102
2021,동대문구,102.6,102.5
2021,중랑구,103,103.6
2021,성북구,103.3,104.2
2021,강북구,102.3,102.3
2021,도봉구,104.3,104.3
2021,노원구,105.5,105.9
2021,은평구,103.6,104.3
2021,서대문구,102.5,103.4
2021,마포구,103.4,104.8
2021,양천구,102.8,102.6
2021,강서구,103.2,105
2021,구로구,103.1,104.1
2021,금천구,102.6,103.2
2021,영등포구,103,103.6
2021,동작구,103.8,104.8
2021,관악구,102.7,103.4
2021,서초구,105.2,105.7
2021,강남구,105.1,105.8
2021,송파구,105.2,105.6
2021,강동구,103.8,104.4
