자치구,행정동명,1인가구
종로구,사직동,1487
종로구,삼청동,380
종로구,부암동,1129
종로구,평창동,1302
종로구,무악동,494
종로구,교남동,1219
종로구,가회동,631
종로구,종로1.2.3.4가동,2371
종로구,종로5·6가동,1608
종로구,이화동,2094
종로구,창신1동,1069
종로구,창신2동,1288
종로구,창신3동,613
종로구,숭인1동,1007
종로구,숭인2동,2988
종로구,청운효자동,1378
종로구,혜화동,4925
중구,소공동,435
중구,회현동,867
중구,명동,581
중구,필동,1020
중구,장충동,1509
중구,광희동,1391
중구,을지로동,781
중구,신당5동,2182
중구,황학동,2963
중구,중림동,1627
중구,신당동,2223
중구,다산동,2466
중구,약수동,2054
중구,청구동,1924
중구,동화동,795
용산구,후암동,2800
용산구,용산2가동,1911
용산구,남영동,2382
용산구,원효로2동,1601
용산구,효창동,1082
용산구,용문동,1576
용산구,이촌1동,1212
용산구,이촌2동,803
용산구,이태원1동,1479
용산구,이태원2동,1874
용산구,서빙고동,1178
용산구,보광동,3121
용산구,청파동,5218
용산구,원효로1동,2735
용산구,한강로동,3755
용산구,한남동,4154
성동구,왕십리2동,2275
성동구,마장동,3674
성동구,사근동,4754
성동구,행당1동,1930
성동구,행당2동,1764
성동구,응봉동,1053
성동구,금호1가동,1538
성동구,금호4가동,1624
성동구,성수1가1동,2435
성동구,성수1가2동,2499
성동구,성수2가1동,2990
성동구,성수2가3동,2091
성동구,송정동,2305
성동구,용답동,3111
성동구,왕십리도선동,3632
성동구,금호2.3가동,2519
성동구,옥수동,2391
광진구,화양동,12704
광진구,군자동,5546
광진구,중곡1동,3282
광진구,중곡2동,3780
광진구,중곡3동,3144
광진구,중곡4동,3747
광진구,능동,3251
광진구,구의1동,5591
광진구,구의2동,3049
광진구,구의3동,3110
광진구,광장동,1501
광진구,자양1동,4616
광진구,자양2동,3098
광진구,자양3동,2131
광진구,자양4동,3751
동대문구,회기동,4044
동대문구,휘경1동,3336
동대문구,휘경2동,4785
동대문구,청량리동,3236
동대문구,용신동,8464
동대문구,제기동,5399
동대문구,전농1동,5814
동대문구,전농2동,1691
동대문구,답십리2동,3448
동대문구,장안1동,5502
동대문구,장안2동,3212
동대문구,이문1동,5774
동대문구,이문2동,2503
동대문구,답십리1동,3717
중랑구,면목2동,3974
중랑구,면목4동,2678
중랑구,면목5동,1540
중랑구,면목7동,3294
중랑구,상봉1동,2377
중랑구,상봉2동,5309
중랑구,중화1동,2353
중랑구,중화2동,5455
중랑구,묵1동,3741
중랑구,묵2동,3049
중랑구,망우3동,2695
중랑구,신내1동,2426
중랑구,신내2동,2273
중랑구,면목본동,6360
중랑구,면목3.8동,4347
중랑구,망우본동,4734
성북구,돈암1동,1385
성북구,돈암2동,1188
성북구,안암동,5964
성북구,보문동,3011
성북구,정릉1동,1819
성북구,정릉2동,2284
성북구,정릉3동,3255
성북구,정릉4동,2659
성북구,길음1동,1721
성북구,길음2동,1666
성북구,월곡1동,2454
성북구,월곡2동,3767
성북구,장위1동,2487
성북구,장위2동,2030
성북구,장위3동,1839
성북구,성북동,2945
성북구,삼선동,4790
성북구,동선동,5186
성북구,종암동,5568
성북구,석관동,5492
강북구,번1동,4380
강북구,번2동,2250
강북구,번3동,2002
강북구,수유1동,3467
강북구,수유2동,2674
강북구,수유3동,5632
강북구,삼양동,3023
강북구,미아동,4807
강북구,송중동,4548
강북구,송천동,4508
강북구,삼각산동,2021
강북구,우이동,2436
강북구,인수동,3937
도봉구,쌍문1동,2489
도봉구,쌍문2동,2457
도봉구,쌍문3동,2761
도봉구,쌍문4동,1238
도봉구,방학1동,3502
도봉구,방학2동,2768
도봉구,방학3동,1399
도봉구,창1동,2919
도봉구,창2동,2889
도봉구,창3동,1901
도봉구,창4동,2256
도봉구,창5동,2347
도봉구,도봉1동,3023
도봉구,도봉2동,2935
노원구,월계1동,3440
노원구,월계2동,3531
노원구,월계3동,3359
노원구,공릉2동,4783
노원구,하계1동,3265
노원구,하계2동,1481
노원구,중계본동,1105
노원구,중계1동,1070
노원구,중계4동,2081
노원구,상계1동,3454
노원구,상계2동,2415
노원구,상계5동,3030
노원구,상계8동,1954
노원구,상계9동,1765
노원구,상계10동,1431
노원구,상계3.4동,3275
노원구,상계6.7동,3524
노원구,중계2.3동,4119
노원구,공릉1동,7356
은평구,녹번동,5033
은평구,불광1동,4730
은평구,갈현1동,3373
은평구,갈현2동,3136
은평구,구산동,2785
은평구,대조동,5597
은평구,응암1동,3771
은평구,응암2동,2171
은평구,신사1동,3009
은평구,신사2동,2314
은평구,증산동,1736
은평구,수색동,963
은평구,진관동,4742
은평구,불광2동,4589
은평구,응암3동,4431
은평구,역촌동,5473
서대문구,천연동,2388
서대문구,홍제1동,2736
서대문구,홍제3동,2027
서대문구,홍제2동,1443
서대문구,홍은1동,2538
서대문구,홍은2동,3769
서대문구,남가좌1동,942
서대문구,남가좌2동,4237
서대문구,북가좌1동,1172
서대문구,북가좌2동,4463
서대문구,충현동,3880
서대문구,북아현동,2261
서대문구,신촌동,9002
서대문구,연희동,9005
마포구,용강동,2388
마포구,대흥동,4027
마포구,염리동,1775
마포구,신수동,3184
마포구,서교동,8192
마포구,합정동,3699
마포구,망원1동,3829
마포구,망원2동,2398
마포구,연남동,4142
마포구,성산1동,3506
마포구,성산2동,6694
마포구,상암동,3741
마포구,도화동,2610
마포구,서강동,4380
마포구,공덕동,6338
마포구,아현동,2269
양천구,목1동,1189
양천구,목2동,3752
양천구,목3동,2963
양천구,목4동,2280
양천구,신월1동,3273
양천구,신월2동,1749
양천구,신월3동,2877
양천구,신월4동,1151
양천구,신월5동,1567
양천구,신월6동,874
양천구,신월7동,2217
양천구,신정1동,929
양천구,신정2동,1148
양천구,신정3동,3582
양천구,신정6동,728
양천구,신정7동,2450
양천구,목5동,1185
양천구,신정4동,5522
강서구,염창동,2993
강서구,등촌1동,6021
강서구,등촌2동,2147
강서구,등촌3동,5335
강서구,화곡본동,5647
강서구,화곡2동,2322
강서구,화곡3동,2282
강서구,화곡4동,2969
강서구,화곡6동,4182
강서구,화곡8동,3346
강서구,가양1동,11023
강서구,가양2동,3623
강서구,가양3동,2925
강서구,발산1동,2152
강서구,공항동,4329
강서구,방화1동,3791
강서구,방화2동,4206
강서구,방화3동,3815
강서구,화곡1동,10238
강서구,우장산동,2826
구로구,신도림동,2324
구로구,구로1동,1822
구로구,구로3동,6197
구로구,구로4동,3764
구로구,구로5동,5350
구로구,고척1동,2216
구로구,고척2동,2916
구로구,개봉2동,2373
구로구,개봉3동,1860
구로구,오류1동,4624
구로구,수궁동,2086
구로구,가리봉동,2849
구로구,구로2동,4383
구로구,개봉1동,3591
구로구,오류2동,3258
구로구,항동,1358
금천구,가산동,9775
금천구,독산1동,8983
금천구,독산2동,3209
금천구,독산3동,4413
금천구,독산4동,2608
금천구,시흥1동,5285
금천구,시흥2동,1592
금천구,시흥3동,1142
금천구,시흥4동,2417
금천구,시흥5동,2910
영등포구,여의동,2672
영등포구,당산1동,4125
영등포구,당산2동,7461
영등포구,양평1동,3721
영등포구,양평2동,3391
영등포구,신길1동,4995
영등포구,신길3동,2205
영등포구,신길4동,1475
영등포구,신길5동,1386
영등포구,신길6동,2980
영등포구,신길7동,1599
영등포구,대림1동,2269
영등포구,대림2동,2783
영등포구,대림3동,2970
영등포구,영등포본동,3226
영등포구,영등포동,10170
영등포구,도림동,3625
영등포구,문래동,2947
동작구,노량진2동,3064
동작구,상도1동,8604
동작구,상도2동,4013
동작구,상도3동,4214
동작구,상도4동,4618
동작구,사당1동,6345
동작구,사당3동,2583
동작구,사당4동,2651
동작구,사당5동,2007
동작구,대방동,6011
동작구,신대방1동,3128
동작구,신대방2동,3672
동작구,흑석동,4562
동작구,노량진1동,5604
동작구,사당2동,3025
관악구,보라매동,5182
관악구,청림동,1403
관악구,행운동,9674
관악구,낙성대동,6341
관악구,중앙동,5565
관악구,인헌동,6776
관악구,남현동,3855
관악구,서원동,7607
관악구,신원동,5505
관악구,서림동,7735
관악구,신사동,7282
관악구,신림동,11942
관악구,난향동,1354
관악구,조원동,5581
관악구,대학동,9718
관악구,은천동,5723
관악구,성현동,3082
관악구,청룡동,13435
관악구,난곡동,4155
관악구,삼성동,3132
관악구,미성동,4186
서초구,서초1동,3203
서초구,서초2동,3238
서초구,서초3동,4851
서초구,서초4동,1529
서초구,잠원동,2809
서초구,반포본동,354
서초구,반포1동,5087
서초구,반포2동,314
서초구,반포3동,910
서초구,반포4동,1110
서초구,방배본동,1683
서초구,방배1동,2318
서초구,방배2동,2182
서초구,방배3동,1472
서초구,방배4동,2585
서초구,양재1동,4776
서초구,양재2동,3938
서초구,내곡동,1583
강남구,신사동,2047
강남구,논현1동,7121
강남구,논현2동,4618
강남구,삼성1동,1433
강남구,삼성2동,4236
강남구,대치1동,350
강남구,대치4동,4269
강남구,역삼1동,12735
강남구,역삼2동,4735
강남구,도곡1동,1872
강남구,도곡2동,1408
강남구,개포1동,550
강남구,개포4동,2280
강남구,일원본동,923
강남구,일원1동,2631
강남구,일원2동,1927
강남구,수서동,3083
강남구,세곡동,4891
강남구,압구정동,1822
강남구,청담동,3203
강남구,대치2동,1807
강남구,개포2동,1058
송파구,풍납1동,1869
송파구,풍납2동,2880
송파구,거여1동,1396
송파구,거여2동,1883
송파구,마천1동,2403
송파구,마천2동,2296
송파구,방이1동,1381
송파구,방이2동,6641
송파구,오륜동,361
송파구,오금동,3077
송파구,송파1동,4706
송파구,송파2동,1242
송파구,석촌동,6716
송파구,삼전동,6327
송파구,가락본동,3173
송파구,가락1동,1255
송파구,가락2동,2272
송파구,문정1동,2134
송파구,문정2동,7515
송파구,잠실본동,6559
송파구,잠실4동,669
송파구,잠실6동,577
송파구,잠실7동,302
송파구,잠실2동,1160
송파구,잠실3동,1116
송파구,장지동,2747
송파구,위례동,1037
강동구,강일동,2081
강동구,상일동,1441
강동구,명일1동,1698
강동구,명일2동,763
강동구,고덕1동,1143
강동구,고덕2동,1730
강동구,암사2동,1481
강동구,암사3동,707
강동구,천호1동,3749
강동구,천호3동,5205
강동구,성내1동,1808
강동구,성내2동,5143
강동구,성내3동,3134
강동구,둔촌1동,6
강동구,둔촌2동,2389
강동구,암사1동,4551
강동구,천호2동,6378
강동구,길동,6909
