소방서명,119안전센터명,설치일자,관할구역
강릉,경포,1985-06-03,"강릉시 사천면, 경포동, 초당동일원"
강릉,내곡,1994-05-10,"강릉시 성산면, 왕산면, 구정면, 홍제동, 내곡동, 강남동"
강릉,주문진,1987-09-07,"강릉시 주문진읍, 연곡면 일원"
강릉,포남,2000-07-15,"강릉시 포남2동, 송정동 일원 및 성덕동 일부"
강릉,옥계,2000-07-15,"강릉시 강동면, 옥계면 일원"
동해,묵호,1981-12-11,"동해시 발한동, 묵호동, 망상동, 동호동 일원"
동해,북삼,1984-02-07,"동해시 북삼동, 삼화동 일원"
동해,북평,1991-05-20,"동해시 북평동, 송정동 일원"
삼척,도계,1991-05-20,"삼척시 도계읍, 신기면, 하장면 일원"
삼척,원덕,1995-01-01,"삼척시 원덕읍, 가곡면 일원"
삼척,근덕,2012-07-20,"삼척시 근덕면, 노곡면 일원"
속초,영랑,1989-01-09,"속초시 영량동, 동명동 일원 및 금호동 일부"
속초,설악,2013-07-26,속초시 대포동 일원
속초,간성,1992-07-01,고성군 간성읍 일원
속초,동광,2007-11-02,"고성군 토성면, 죽왕면 일원"
속초,거진,1995-01-01,"고성군 거진읍, 현내면 일원"
속초,양양,1994-05-10,"양양군 양양읍, 서면, 손양면, 강현면 일원"
속초,현남북,2007-11-02,"양양군 현북면, 현남면 일원"
영월,주천,2002-03-07,"영월군 주천면, 한반도면, 수주면 일원"
영월,중동,2011-12-23,"영월군 상동읍, 중동면, 김삿갓면 일원"
원주,학성,1991-05-20,"원주시 중앙동, 학성동, 태장1동 일원 및 봉산동 일부"
원주,단구,1985-06-03,"원주시 행구동, 반곡관설동 일원 및 봉산동, 단구동 일원"
원주,우산,1975-05-24,"원주시 우산동, 호저면 일원"
원주,태장,1998-01-17,"원주시 소초면, 태장2동 일원"
원주,문막,1991-05-20,"원주시 문막읍, 지정면, 부론면 일원"
원주,신림,2011-12-23,"원주시 신림면, 판부면(서곡리 제외) 일원"
인제,원통,2007-11-02,"인제군 북면, 서화면 일원"
인제,기린,2013-07-26,"인제군 기린면, 상남면 일원"
정선,고한,1994-05-10,"정선군 고한읍, 사북읍, 남면 일원"
정선,신동,2000-07-15,정선군 신동읍 일원
정선,임계,2008-09-01,"정선군 임계면, 여량면 일원"
철원,동송,1995-01-01,"철원군 동송읍, 철원읍 일원"
철원,김화,2003-11-08,"철원군 김화읍, 서면, 근남면 일원"
춘천,소양,1972-01-25,"춘천시 소양동, 조운동, 약사명동, 근화동 일원"
춘천,효자,1986-12-10,"춘천시 남면, 남산면, 효자1동, 효자2동, 강남동 일원"
춘천,석사,1995-11-16,"춘천시 동산면, 동내면, 석사동, 퇴계동 일원 및 신동면"
춘천,강촌,2007-11-02,"춘천시 남면, 남산면 일원 및 서면, 신동면 일부"
춘천,신북,2013-07-26,"춘천시 신사우동, 신북읍, 사북면, 북산면, 서면 일부"
춘천,화천,1994-05-10,"화천군 화천읍, 간동면, 상서면, 하남면 일원"
춘천,사내,2007-11-02,화천군 사내면 일원
춘천,양구,1994-05-10,양구군 일원
태백,장성,1983-04-08,"태백시 장성동, 문곡소도동 일원"
태백,철암,1985-06-03,"태백시 구문소동, 철암동 일원"
태백,화전,1990-02-15,태백시 황연동 일원 및 삼수동 일부
평창,진부,1998-01-17,평창군 진부면 일원
평창,봉평,2008-09-05,"평창군 봉평면, 용평면 일원"
평창,대관령,2010-10-29,평창군 대관령면 일원
홍천,양덕원,1990-02-15,"홍천군 남면, 서면 일원"
홍천,서석,2011-12-23,"홍천군 서석면, 내촌면, 내면 일원"
횡성,둔내,2000-07-15,"횡성군 둔내면, 청일면 일원"
횡성,우천,2010-04-02,"횡성군 우천면, 안흥면, 강림면 일원"
