User Id,Sports,Religious,Nature,Theatre,Shopping,Picnic
User 1,2,77,79,69,68,95
User 2,2,62,76,76,69,68
User 3,2,50,97,87,50,75
User 4,2,68,77,95,76,61
User 5,2,98,54,59,95,86
User 6,3,52,109,93,52,76
User 7,3,64,85,82,73,69
User 8,3,54,107,92,54,76
User 9,3,64,108,64,54,93
User 10,3,86,76,74,74,103
User 11,3,107,54,64,103,94
User 12,3,103,60,63,102,93
User 13,3,64,82,82,75,69
User 14,3,93,54,74,103,69
User 15,3,63,82,81,78,69
User 16,3,82,79,75,75,82
User 17,5,59,131,103,54,86
User 18,5,56,124,108,56,85
User 19,4,85,67,111,65,72
User 20,5,114,83,65,114,102
